SH600583	2007-05-29	2011-06-30
SH601991	2007-05-29	2010-12-31
SH600688	2007-05-29	2010-12-31
SH600642	2007-05-29	2010-12-31
SH600320	2007-05-29	2010-12-31
SH600011	2007-05-29	2010-12-31
SZ000562	2007-05-29	2010-12-31
SZ000402	2007-05-29	2010-06-30
SH600649	2007-05-29	2010-06-30
SH600026	2007-05-29	2010-06-30
SH600808	2007-05-29	2010-06-30
SZ000027	2007-05-29	2010-06-30
SH600010	2007-05-29	2010-06-30
SH601333	2007-05-29	2010-06-30
SH600598	2009-07-01	2009-12-31
SH601872	2007-05-29	2009-12-31
SH600350	2007-05-29	2009-12-31
SH600027	2007-05-29	2009-12-31
SZ000629	2007-05-29	2009-12-31
SZ000338	2007-05-29	2009-12-31
SH600717	2007-05-29	2009-12-31
SH601588	2007-05-29	2009-06-30
SH600660	2007-05-29	2009-06-30
SH600221	2007-05-29	2009-06-30
SH600115	2008-07-01	2009-06-30
SH600008	2007-05-29	2009-06-30
SH600631	2007-05-29	2008-06-30
SH600600	2007-05-29	2008-06-30
SH600500	2007-05-29	2008-06-30
SH600456	2007-05-29	2008-06-30
SH600001	2007-05-29	2008-06-30
SZ000932	2007-05-29	2008-06-30
SZ000927	2007-05-29	2008-06-30
SZ000625	2007-05-29	2008-06-30
SZ000088	2007-05-29	2008-06-30
SZ000839	2007-05-29	2008-06-30
